package_num_channel	acc_x	acc_y	acc_z	gyr_x	gyr_y	gyr_z	mag_x	mag_y	mag_z	timestamp_channel	marker_channel
51318.000000	0.036000	0.066000	1.000000	-0.885000	-0.214000	-0.305000	4.000000	-4.000000	55.000000	1722982913.314370	0.000000
51318.000000	0.034000	0.064000	1.000000	-0.824000	-0.214000	-0.305000	4.000000	-3.000000	56.000000	1722982913.314371	0.000000
51318.000000	0.036000	0.068000	1.001000	-0.885000	-0.244000	-0.275000	4.000000	-4.000000	57.000000	1722982913.314371	0.000000
51336.000000	0.034000	0.068000	1.001000	-0.824000	-0.183000	-0.244000	4.000000	-4.000000	56.000000	1722982913.514661	0.000000
51336.000000	0.035000	0.068000	1.001000	-0.854000	-0.183000	-0.275000	4.000000	-4.000000	56.000000	1722982913.514662	0.000000
51353.000000	0.034000	0.065000	1.000000	-0.885000	-0.153000	-0.305000	4.000000	-4.000000	55.000000	1722982913.530706	0.000000
51353.000000	0.035000	0.065000	1.001000	-0.854000	-0.214000	-0.305000	4.000000	-4.000000	56.000000	1722982913.530706	0.000000
51353.000000	0.037000	0.067000	1.001000	-0.854000	-0.183000	-0.305000	3.000000	-4.000000	56.000000	1722982913.530707	0.000000
51370.000000	0.034000	0.066000	1.003000	-0.854000	-0.183000	-0.305000	4.000000	-4.000000	55.000000	1722982913.723974	0.000000
51370.000000	0.035000	0.064000	1.000000	-0.854000	-0.183000	-0.305000	4.000000	-4.000000	56.000000	1722982913.723974	0.000000
51370.000000	0.035000	0.066000	1.000000	-0.885000	-0.214000	-0.305000	4.000000	-2.000000	56.000000	1722982913.723975	0.000000
51385.000000	0.034000	0.065000	1.001000	-0.854000	-0.183000	-0.305000	4.000000	-4.000000	56.000000	1722982913.732036	0.000000
51385.000000	0.034000	0.066000	1.002000	-0.854000	-0.183000	-0.305000	4.000000	-4.000000	55.000000	1722982913.732038	0.000000
51401.000000	0.036000	0.066000	0.999000	-0.854000	-0.183000	-0.305000	5.000000	-4.000000	55.000000	1722982913.924848	0.000000
51401.000000	0.037000	0.065000	0.998000	-0.885000	-0.183000	-0.275000	3.000000	-5.000000	56.000000	1722982913.924849	0.000000
51401.000000	0.035000	0.066000	1.000000	-0.854000	-0.153000	-0.275000	4.000000	-5.000000	55.000000	1722982913.924850	0.000000
51421.000000	0.035000	0.066000	1.000000	-0.885000	-0.153000	-0.336000	4.000000	-4.000000	55.000000	1722982913.951385	0.000000
51421.000000	0.035000	0.066000	1.001000	-0.854000	-0.183000	-0.336000	4.000000	-3.000000	55.000000	1722982913.951385	0.000000
51437.000000	0.035000	0.065000	0.999000	-0.824000	-0.183000	-0.305000	4.000000	-3.000000	55.000000	1722982914.126995	0.000000
51437.000000	0.032000	0.068000	1.002000	-0.854000	-0.183000	-0.305000	3.000000	-4.000000	56.000000	1722982914.126995	0.000000
51437.000000	0.036000	0.063000	1.002000	-0.885000	-0.183000	-0.305000	4.000000	-4.000000	55.000000	1722982914.126996	0.000000
51456.000000	0.036000	0.066000	1.000000	-0.916000	-0.214000	-0.305000	4.000000	-3.000000	55.000000	1722982914.156456	0.000000
51456.000000	0.035000	0.067000	0.999000	-0.824000	-0.183000	-0.275000	3.000000	-4.000000	55.000000	1722982914.156457	0.000000
51456.000000	0.036000	0.066000	1.000000	-0.793000	-0.244000	-0.275000	3.000000	-4.000000	53.000000	1722982914.156458	0.000000
51470.000000	0.035000	0.065000	1.002000	-0.824000	-0.183000	-0.275000	4.000000	-5.000000	54.000000	1722982914.331566	0.000000
51470.000000	0.036000	0.067000	1.001000	-0.854000	-0.183000	-0.244000	2.000000	-4.000000	56.000000	1722982914.331567	0.000000
51488.000000	0.036000	0.067000	1.003000	-0.885000	-0.183000	-0.275000	4.000000	-4.000000	57.000000	1722982914.357877	0.000000
51488.000000	0.035000	0.064000	1.002000	-0.916000	-0.183000	-0.336000	4.000000	-3.000000	56.000000	1722982914.357878	0.000000
51488.000000	0.036000	0.065000	1.002000	-0.885000	-0.183000	-0.305000	5.000000	-3.000000	56.000000	1722982914.357878	0.000000
51504.000000	0.035000	0.064000	1.003000	-0.854000	-0.183000	-0.275000	4.000000	-4.000000	57.000000	1722982914.539436	0.000000
51504.000000	0.034000	0.064000	0.999000	-0.854000	-0.183000	-0.305000	2.000000	-5.000000	55.000000	1722982914.539436	0.000000
51504.000000	0.036000	0.065000	0.999000	-0.885000	-0.183000	-0.305000	4.000000	-3.000000	55.000000	1722982914.539437	0.000000
51521.000000	0.037000	0.066000	1.000000	-0.885000	-0.183000	-0.305000	3.000000	-4.000000	55.000000	1722982914.633231	0.000000
51521.000000	0.035000	0.066000	1.001000	-0.854000	-0.214000	-0.275000	5.000000	-5.000000	55.000000	1722982914.633231	0.000000
51537.000000	0.037000	0.066000	1.001000	-0.885000	-0.183000	-0.305000	3.000000	-5.000000	55.000000	1722982914.666384	0.000000
51537.000000	0.034000	0.064000	1.000000	-0.854000	-0.183000	-0.275000	4.000000	-4.000000	55.000000	1722982914.666385	0.000000
51537.000000	0.036000	0.065000	0.999000	-0.885000	-0.183000	-0.305000	4.000000	-4.000000	54.000000	1722982914.666385	0.000000
51553.000000	0.035000	0.065000	0.999000	-0.824000	-0.214000	-0.305000	4.000000	-4.000000	56.000000	1722982914.780515	0.000000
51553.000000	0.035000	0.065000	1.001000	-0.824000	-0.244000	-0.275000	4.000000	-3.000000	56.000000	1722982914.780515	0.000000
51553.000000	0.037000	0.065000	1.002000	-0.885000	-0.183000	-0.305000	2.000000	-4.000000	56.000000	1722982914.780516	0.000000
51569.000000	0.037000	0.066000	1.002000	-0.824000	-0.183000	-0.305000	3.000000	-4.000000	56.000000	1722982914.946524	0.000000
51569.000000	0.036000	0.065000	1.000000	-0.854000	-0.214000	-0.336000	4.000000	-4.000000	55.000000	1722982914.946524	0.000000
51587.000000	0.036000	0.064000	1.001000	-0.854000	-0.214000	-0.305000	4.000000	-3.000000	56.000000	1722982914.984657	0.000000
51587.000000	0.037000	0.067000	1.000000	-0.854000	-0.214000	-0.275000	4.000000	-4.000000	56.000000	1722982914.984658	0.000000
51587.000000	0.038000	0.065000	1.000000	-0.854000	-0.153000	-0.275000	4.000000	-4.000000	55.000000	1722982914.984659	0.000000
